null,ChIJ7VJsNFDNqjsRfg9A2Oak2ps,"RAJA VEDA PATASALA","","Valayapettai Agraharam, Kumbakonam, Tamil Nadu 612001, Indien","Valayapettai Agraharam",10.96493130000000,79.37164870000000,SearchResult.TYPE_SCHOOL,
null,ChIJ5whnRX8VrjsRk2hlpWMMFhE,"Veda Pata","","33rd Cross Rd, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070, Indien","Banashankari Stage II, Banashankari",12.91986600000000,77.56692450000000,SearchResult.TYPE_UNIVERSITY,
null,ChIJ4Xk88oe_rDsRbwwPednoLbg,"Ma Devaki Veda Patasala","","115G, Puduchery Rd, TSR Nagar, Tiruvannamalai, Tamil Nadu 606603, Indien","TSR Nagar",12.21787350000000,79.05432650000000,SearchResult.TYPE_SCHOOL,+919443317942
null,ChIJ6e1lZ7VnUjoRXQl7UNUnUhI,"Seetharama Gurukulam Veda Patasala","","New 486 (Old No. 176, TT Krishnamachari Rd, Alwarpet, Chennai, Tamil Nadu 600018, Indien","Seetammal Colony, MIG Colony, Alwarpet",13.03453580000000,80.25374049999999,SearchResult.TYPE_SCHOOL,+914424361210
null,ChIJSxmc09L1qjsR8ZF0MBg2QVY,"AMK Rig Veda Padasalai","","Sannathi St, Srirangam, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005, Indien","Srirangam, Thiruvanaikoil",10.85286280000000,78.70205310000000,SearchResult.TYPE_TEMPLE,+914312230586
null,ChIJk6EisSERrjsRsfu9JmHtb3c,"G SUBRAMANYA (SRIVIDYA VEDA PATHASHALA)","","3rd Cross Rd, BSV Reddy Layout, Ramamurthy Nagar, Bengaluru, Karnataka 560016, Indien","BSV Reddy Layout, Ramamurthy Nagar",13.01293640000000,77.67464149999999,SearchResult.TYPE_SCHOOL,+918025657275
null,ChIJf4mMQUc3VToRF5DQfh5yUkc,"Dayanandha veda patasala","","Keela Veedhi, Kudavasal, Tamil Nadu 612601, Indien","null",10.85782440000000,79.48286840000000,SearchResult.TYPE_TEMPLE,
null,ChIJrSo8ToEVrjsRbA30qwY2tv0,"SRI SHANKARA VEDA PATASHALE","","# 1819, 12th Main, 31st Cross Rd, Banashankari Stage II, Bengaluru, Karnataka 560070, Indien","Banashankari Stage II, Banashankari",12.91968230000000,77.56697710000000,SearchResult.TYPE_UNIVERSITY,+919480156689
null,ChIJzVIzNkENrjsRO5vcGfZ_GqA,"Namma Sampradaya Charitable and Education Trust","","Jnana Jyothi Campus, Katriguppe Village, Neriga Post, Bengaluru, Karnataka 562125, Indien","null",12.90233100000000,77.76386900000000,SearchResult.TYPE_SCHOOL,+919480205088
null,ChIJsSOq6VHNqjsRUavWyHhQuVY,"Raaja Veda Kavya Patasala","","29-30, East Iyen Street,, Entrance Yaga Salari Street, Kumbakonam, Tamil Nadu 612001, Indien","Karna Kollai Agraharam, Valayapettai Agraharam",10.96461660000000,79.37346029999999,SearchResult.TYPE_SCHOOL,+914352401789
null,ChIJ30nGM6MVrjsR0MR-LFhX_Ls,"Vasavi Veda Nidhi","","335-337, 22nd Cross Rd, Jaya Nagar 1st Block, Jayanagar 3rd Block East, Jayanagar, Bengaluru, Karnataka 560011, Indien","Jaya Nagar 1st Block, Jayanagar 3rd Block East, Jayanagar",12.93242480000000,77.58863190000000,SearchResult.TYPE_HINDU_TEMPLE,+918022440077
null,ChIJReKYYMFdUjoRXxWyPF5uC1U,"Kalavai Guruparampara Veda Vidya Trust Patasala","","3rd Cross St, Rajaji Nagar, Kuberan Nagar Extention, Madipakkam, Chennai, Tamil Nadu 600091, Indien","Rajaji Nagar, Kuberan Nagar Extention, Madipakkam",12.96152820000000,80.20449459999999,SearchResult.TYPE_SCHOOL,
null,ChIJpaXKuonFqTsRHo433ciHaes,"Kaniyur Brahma Vidya Trust","","#52, Kaniyur Agraharam, Madathukulam Taluk, Udumalaipettai, Tirupur, Tamil Nadu 642203, Indien","null",10.60415590000000,77.38028670000000,SearchResult.TYPE_SCHOOL,+919952699793
null,ChIJoxTY1UWouzsRVO_ofn31eRo,"Gayathri veda paathashaala","","Hosahalli, Karnataka 577202, Indien","null",13.88085160000000,75.56005250000000,SearchResult.TYPE_SCHOOL,
null,ChIJA8p44ooZrjsRfjoRBkSAM-4,"Sri Shankara Veda Patha Shale","","# 15, Kshetrapala Prakruthi Layout, Kodigehalli, Virupakshapura, Bengaluru, Karnataka 560097, Indien","Ganesh Nagar Layout, Maruthi Layout, Virupakshapura",13.06249730000000,77.57057200000000,null,+919480156689
null,ChIJ28dFvurJqjsREQyqqGD7RtE,"Sri Veda Vidya Gurukulum","","Kalancheri, Tamil Nadu 613504, Indien","null",10.81418010000000,79.26774950000000,SearchResult.TYPE_SCHOOL,+919626636650
null,ChIJLZm83GZnUjoRNYnfe_GD6iI,"Vedabhavan Veda patasala","","14,  38, Chakrapani St Ext, Rangarajapuram, West Mambalam, Chennai, Tamil Nadu 600033, Indien","Rangarajapuram, West Mambalam",13.04528350000000,80.22383860000000,SearchResult.TYPE_SCHOOL,
