ChIJRfcmugf50S0Rd_TEFYPr6xM,"Pura dadie bendese manik mas","6P3QQG9R+FJ","Tigaron kangin","Tigaron kangin, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23133690000000,115.54160750000000
ChIJd1gcyIb50S0RoqIaPuT08So,"pure dadye mk tis","6P3QQGCR+7J","Jl. Tigaron","Jl. Tigaron, Sukadana, Kubu, Kabupaten Karangasem, Bali 81173, Indonesien",-8.22925170000000,115.54153000000001
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJKy3Ty2X50S0R9oYOVs9vKKk,"Pura Dadia PGSDT","6P3QQG8P+VV","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23281440000000,115.53720609999998
ChIJRfcmugf50S0Rd_TEFYPr6xM,"Pura dadie bendese manik mas","6P3QQG9R+FJ","Tigaron kangin","Tigaron kangin, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23133690000000,115.54160750000000
ChIJd1gcyIb50S0RoqIaPuT08So,"pure dadye mk tis","6P3QQGCR+7J","Jl. Tigaron","Jl. Tigaron, Sukadana, Kubu, Kabupaten Karangasem, Bali 81173, Indonesien",-8.22925170000000,115.54153000000001
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJKy3Ty2X50S0R9oYOVs9vKKk,"Pura Dadia PGSDT","6P3QQG8P+VV","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23281440000000,115.53720609999998
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJKy3Ty2X50S0R9oYOVs9vKKk,"Pura Dadia PGSDT","6P3QQG8P+VV","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23281440000000,115.53720609999998
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
ChIJRfcmugf50S0Rd_TEFYPr6xM,"Pura dadie bendese manik mas","6P3QQG9R+FJ","Tigaron kangin","Tigaron kangin, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23133690000000,115.54160750000000
ChIJd1gcyIb50S0RoqIaPuT08So,"pure dadye mk tis","6P3QQGCR+7J","Jl. Tigaron","Jl. Tigaron, Sukadana, Kubu, Kabupaten Karangasem, Bali 81173, Indonesien",-8.22925170000000,115.54153000000001
ChIJqz18Z1n50S0RZXwxNJUWRVE,"Pura Segara Nusu \u0026 Kayuaya","6P3QQHC2+HP","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.22858260000000,115.55184160000000
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJKy3Ty2X50S0R9oYOVs9vKKk,"Pura Dadia PGSDT","6P3QQG8P+VV","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23281440000000,115.53720609999998
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
ChIJRfcmugf50S0Rd_TEFYPr6xM,"Pura dadie bendese manik mas","6P3QQG9R+FJ","Tigaron kangin","Tigaron kangin, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23133690000000,115.54160750000000
ChIJd1gcyIb50S0RoqIaPuT08So,"pure dadye mk tis","6P3QQGCR+7J","Jl. Tigaron","Jl. Tigaron, Sukadana, Kubu, Kabupaten Karangasem, Bali 81173, Indonesien",-8.22925170000000,115.54153000000001
ChIJqz18Z1n50S0RZXwxNJUWRVE,"Pura Segara Nusu \u0026 Kayuaya","6P3QQHC2+HP","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.22858260000000,115.55184160000000
ChIJ__5Jz_b50S0RcmecaZUgcbE,"Pura Dalem Kahyangan DP Ban","6P3QQF8Q+WM","Ban","Ban, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23271480000000,115.48924919999999
ChIJW2moG3350S0R6JXjwtbtCmY,"Pura Dadia Sentane Dalem Tarukan PGSDT (Batu Belah)","6P3QQGCM+86","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.22915270000000,115.53301650000000
ChIJKy3Ty2X50S0R9oYOVs9vKKk,"Pura Dadia PGSDT","6P3QQG8P+VV","Unnamed Road","Unnamed Road, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23281440000000,115.53720609999998
ChIJRfcmugf50S0Rd_TEFYPr6xM,"Pura dadie bendese manik mas","6P3QQG9R+FJ","Tigaron kangin","Tigaron kangin, Sukadana, Kubu, Kabupaten Karangasem, Bali 80853, Indonesien",-8.23133690000000,115.54160750000000
ChIJoaJcYWb50S0RY9ulNXoXEVY,"Pure Dadye Pasek Gelgel","6P3QQG8Q+XV","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.23261530000000,115.53965230000000
ChIJd1gcyIb50S0RoqIaPuT08So,"pure dadye mk tis","6P3QQGCR+7J","Jl. Tigaron","Jl. Tigaron, Sukadana, Kubu, Kabupaten Karangasem, Bali 81173, Indonesien",-8.22925170000000,115.54153000000001
ChIJqz18Z1n50S0RZXwxNJUWRVE,"Pura Segara Nusu \u0026 Kayuaya","6P3QQHC2+HP","Sukadana","Sukadana, Kubu, Karangasem Regency, Bali 80853, Indonesien",-8.22858260000000,115.55184160000000
